,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
234,RNA,"Avidity Biosciences, Inc.",1.95B,1.88%,1683646,9.56M
235,TWST,Twist Bioscience Corporation,1.94B,-2.66%,928479,262.36M
236,NAMS,NewAmsterdam Pharma Company N.V.,1.94B,0.46%,35412,15.66M
237,MRVI,"Maravai LifeSciences Holdings, Inc.",1.94B,5.34%,6647975,288.95M
238,MYGN,"Myriad Genetics, Inc.",1.90B,-0.75%,1780616,753.20M
239,AKRO,"Akero Therapeutics, Inc.",1.90B,0.62%,5108293,-
240,CPRX,"Catalyst Pharmaceuticals, Inc.",1.89B,-0.74%,2974678,398.20M
241,SDGR,"Schrödinger, Inc.",1.88B,1.13%,1135535,216.67M
242,NEO,"NeoGenomics, Inc.",1.88B,-0.27%,1340500,591.64M
243,TNDM,"Tandem Diabetes Care, Inc.",1.88B,2.21%,1135360,747.72M
244,ARDX,"Ardelyx, Inc.",1.87B,0.87%,10954818,124.46M
245,ASTH,"Astrana Health, Inc.",1.86B,-0.52%,316052,1.39B
246,STAA,STAAR Surgical Company,1.84B,-0.82%,938641,322.42M
247,GERN,Geron Corporation,1.83B,92.00%,110776691,237.00K
248,SUPN,"Supernus Pharmaceuticals, Inc.",1.83B,-1.17%,638025,607.52M
249,PROK,ProKidney Corp.,1.81B,3.68%,608870,-
250,ATEC,"Alphatec Holdings, Inc.",1.81B,-1.95%,2104977,482.26M
251,HRMY,"Harmony Biosciences Holdings, Inc.",1.77B,1.98%,1279905,582.02M
252,INMD,InMode Ltd.,1.76B,-1.97%,1895496,492.05M
253,MORF,"Morphic Holding, Inc.",1.73B,0.03%,657772,521.00K
254,RCUS,"Arcus Biosciences, Inc.",1.72B,3.60%,684724,117.00M
255,RXST,"RxSight, Inc.",1.71B,2.14%,580877,89.08M
256,KURA,"Kura Oncology, Inc.",1.70B,1.64%,3013503,-
257,PTGX,"Protagonist Therapeutics, Inc.",1.69B,2.22%,1329441,60.00M
258,AMRX,"Amneal Pharmaceuticals, Inc.",1.69B,2.04%,1704981,2.39B
259,AGIO,"Agios Pharmaceuticals, Inc.",1.68B,1.63%,1186888,26.82M
260,INBX,"Inhibrx, Inc.",1.66B,0.03%,1493272,1.80M
261,GPCR,Structure Therapeutics Inc.,1.64B,0.20%,342238,-
262,APGE,"Apogee Therapeutics, Inc.",1.62B,4.79%,3227029,-
263,USPH,"U.S. Physical Therapy, Inc.",1.61B,0.13%,74913,604.80M
264,FDMT,"4D Molecular Therapeutics, Inc.",1.60B,7.29%,1491821,20.72M
265,ADUS,Addus HomeCare Corporation,1.59B,-1.32%,174860,1.06B
266,VCYT,"Veracyte, Inc.",1.58B,-0.75%,2382910,361.05M
267,TARO,Taro Pharmaceutical Industries Ltd.,1.58B,0.10%,36124,610.83M
268,EWTX,"Edgewise Therapeutics, Inc.",1.58B,-0.88%,3687259,-
269,DVAX,Dynavax Technologies Corporation,1.57B,0.25%,5254674,232.28M
270,ATRC,"AtriCure, Inc.",1.55B,-1.17%,647511,399.25M
271,NVCR,NovoCure Limited,1.51B,-4.31%,1110667,509.34M
272,LMAT,"LeMaitre Vascular, Inc.",1.49B,-0.98%,190721,193.48M
273,IRON,"Disc Medicine, Inc.",1.49B,-1.98%,1029208,-
274,UFPT,"UFP Technologies, Inc.",1.48B,0.71%,62867,400.07M
275,VIR,"Vir Biotechnology, Inc.",1.45B,2.28%,1402223,86.18M
276,AVDL,Avadel Pharmaceuticals plc,1.45B,-1.12%,685533,27.96M
277,NHC,National HealthCare Corporation,1.42B,-0.87%,216254,1.14B
278,IRWD,"Ironwood Pharmaceuticals, Inc.",1.41B,0.56%,14508337,442.74M
279,KNSA,"Kiniksa Pharmaceuticals, Ltd.",1.41B,-1.77%,730531,270.26M
280,XNCR,"Xencor, Inc.",1.41B,4.81%,2347553,168.34M
281,SLNO,"Soleno Therapeutics, Inc.",1.41B,3.16%,788147,-
282,BTSG,"BrightSpring Health Services, Inc.",1.41B,0.12%,10457696,8.83B
283,OCUL,"Ocular Therapeutix, Inc.",1.41B,2.16%,6825547,58.44M
284,PRTA,Prothena Corporation plc,1.40B,-1.55%,1464211,91.37M
285,ANIP,"ANI Pharmaceuticals, Inc.",1.39B,-0.08%,304759,486.82M
286,WRBY,Warby Parker Inc.,1.39B,0.17%,1378331,669.77M
287,ABCL,AbCellera Biologics Inc.,1.38B,0.21%,994527,38.03M
288,PCRX,"Pacira BioSciences, Inc.",1.37B,0.51%,1169594,674.98M
289,ADMA,"ADMA Biologics, Inc.",1.37B,-0.50%,3589760,258.22M
290,AHCO,AdaptHealth Corp.,1.37B,1.28%,1720348,3.20B
291,AUTL,Autolus Therapeutics plc,1.35B,2.11%,2005665,5.52M
292,AGTI,"Agiliti, Inc.",1.35B,0.20%,519012,1.17B
293,PHR,"Phreesia, Inc.",1.34B,4.76%,1228076,356.30M
294,ESTA,Establishment Labs Holdings Inc.,1.33B,1.50%,245339,165.15M
295,TLRY,"Tilray Brands, Inc.",1.31B,8.12%,21490514,700.50M
296,IMNM,"Immunome, Inc.",1.31B,0.18%,489527,10.19M
297,OMCL,"Omnicell, Inc.",1.27B,0.36%,1554978,1.15B
298,ETNB,"89bio, Inc.",1.26B,7.22%,4404437,-
299,VRNA,Verona Pharma plc,1.26B,0.71%,263024,-
300,DCPH,"Deciphera Pharmaceuticals, Inc.",1.26B,-2.01%,1326788,163.36M
301,LGND,Ligand Pharmaceuticals Incorporated,1.26B,-1.17%,745785,-
302,DAWN,"Day One Biopharmaceuticals, Inc.",1.26B,1.41%,1501965,-
303,PHVS,Pharvaris N.V.,1.26B,-1.39%,118279,-
304,MIRM,"Mirum Pharmaceuticals, Inc.",1.25B,-4.97%,2243798,186.37M
305,COLL,"Collegium Pharmaceutical, Inc.",1.24B,2.79%,1276955,566.77M
306,IMTX,Immatics N.V.,1.24B,0.08%,179831,80.56M
307,ARQT,"Arcutis Biotherapeutics, Inc.",1.23B,-2.56%,13994477,59.61M
308,KYTX,"Kyverna Therapeutics, Inc.",1.21B,0.58%,731413,7.03M
309,LQDA,Liquidia Corporation,1.21B,3.79%,1616867,17.49M
310,MNKD,MannKind Corporation,1.21B,-0.67%,4515807,198.96M
311,SAGE,"Sage Therapeutics, Inc.",1.20B,0.81%,1572365,86.46M
312,TARS,"Tarsus Pharmaceuticals, Inc.",1.18B,7.31%,730339,17.45M
313,MDXG,"MiMedx Group, Inc.",1.16B,1.03%,1739759,321.48M
314,VERV,"Verve Therapeutics, Inc.",1.15B,1.54%,3728372,11.76M
315,BKD,Brookdale Senior Living Inc.,1.14B,2.21%,2870954,3.02B
316,BLTE,"Belite Bio, Inc",1.13B,1.75%,29237,-
317,SLN,Silence Therapeutics plc,1.11B,-4.15%,217441,32.12M
318,RGNX,REGENXBIO Inc.,1.09B,1.56%,1028171,90.24M
319,VRDN,"Viridian Therapeutics, Inc.",1.09B,-0.93%,3550255,314.00K
320,EYPT,"EyePoint Pharmaceuticals, Inc.",1.07B,-1.20%,2774408,46.02M
321,CNTA,Centessa Pharmaceuticals plc,1.05B,2.67%,214985,-
322,RLAY,"Relay Therapeutics, Inc.",1.04B,-2.69%,3715780,25.55M
323,SRRK,Scholar Rock Holding Corporation,1.04B,-2.23%,4139731,-
324,BCRX,"BioCryst Pharmaceuticals, Inc.",1.03B,2.25%,9799248,331.41M
325,ORIC,"ORIC Pharmaceuticals, Inc.",1.02B,0.53%,2175504,-
326,ZNTL,"Zentalis Pharmaceuticals, Inc.",1.02B,1.52%,2306959,-
327,PACB,"Pacific Biosciences of California, Inc.",1.02B,-3.07%,6483493,200.52M
328,QTRX,Quanterix Corporation,1.01B,0.64%,382964,122.37M
329,TVGN,Tevogen Bio Holdings Inc,996.10M,-5.08%,32257,-
330,MGNX,"MacroGenics, Inc.",994.54M,-0.81%,4213605,58.75M
331,SYRE,"Spyre Therapeutics, Inc.",990.58M,8.23%,1789847,886.00K
332,ARCT,Arcturus Therapeutics Holdings Inc.,977.29M,-0.16%,694506,166.80M
333,DH,Definitive Healthcare Corp.,952.38M,-2.47%,591540,251.42M
334,NRC,National Research Corporation,947.02M,0.08%,75605,148.58M
335,ALHC,"Alignment Healthcare, Inc.",943.00M,3.53%,1678286,1.82B
336,CRGX,"CARGO Therapeutics, Inc.",941.12M,11.36%,3748563,-
337,INVA,"Innoviva, Inc.",939.56M,0.95%,1891657,310.46M
338,TYRA,"Tyra Biosciences, Inc.",929.12M,-1.41%,371777,-
339,TNGX,"Tango Therapeutics, Inc.",927.09M,-0.66%,3180688,37.51M
340,SAVA,"Cassava Sciences, Inc.",920.26M,2.90%,608702,-
341,PLRX,"Pliant Therapeutics, Inc.",915.03M,1.95%,577280,1.58M
342,BCYC,Bicycle Therapeutics plc,900.04M,3.57%,156277,26.98M
343,CTKB,"Cytek Biosciences, Inc.",892.22M,1.91%,1224562,193.02M
344,HCSG,"Healthcare Services Group, Inc.",890.36M,-0.17%,992187,1.67B
345,AVNS,"Avanos Medical, Inc.",882.02M,0.58%,308274,673.30M
346,SPRY,"ARS Pharmaceuticals, Inc.",877.41M,1.78%,2225439,1.35M
347,SLP,"Simulations Plus, Inc.",860.38M,0.84%,122448,62.11M
348,HLVX,"HilleVax, Inc.",857.33M,1.69%,224212,-
349,EOLS,"Evolus, Inc.",854.82M,-1.21%,495870,202.09M
350,EXAI,Exscientia plc,830.85M,-0.75%,3279435,29.47M
351,AORT,"Artivion, Inc.",828.21M,-1.69%,254309,354.00M
352,PRME,"Prime Medicine, Inc.",804.19M,3.99%,970912,-
353,CABA,"Cabaletta Bio, Inc.",803.00M,-1.16%,2621488,-
